País,Liga,Temporada,Data,Horário UK,Horário BR,Casa,Visitante,Gol Casa,Gol Fora,Árbitro,Falta Casa,Falta Fora,Cartão Amarelo Casa,Cartão Amarelo Fora,Cartão Vermelho Casa,Cartão Vermelho Fora,Min Vermelho Casa,Min Vermelho Fora,Teve Vermelho,Placar Pré 1º Vermelho,Placar Pós Ultimo Vermelho,Média odd Casa,Média odd Empate,Média odd Fora
Brazil,Serie A,2024,11/06/2024,23:00,19:00,Juventude,Vitoria,1,1,Wagner do Nascimento Magalhaes,16,8,3,4,0,0,-,-,Não,-,-,1.97,3.14,4.25
Brazil,Serie A,2024,12/06/2024,00:00,20:00,Botafogo RJ,Fluminense,1,0,Flavio Rodrigues De Souza,22,13,3,3,0,0,-,-,Não,-,-,1.96,3.29,04.06
Brazil,Serie A,2024,12/06/2024,01:30,21:30,Bragantino,Atletico-MG,1,2,Rafael Rodrigo Klein,17,18,5,6,1,1,90',90'+10,Sim,1x2,1x2,2.29,3.12,3.27
Brazil,Serie A,2024,13/06/2024,23:00,19:00,Cruzeiro,Cuiaba,2,1,Marcelo de Lima Henrique,9,12,3,2,0,0,-,-,Não,-,-,1.58,3.65,6.56
Brazil,Serie A,2024,14/06/2024,00:00,20:00,Athletico-PR,Criciuma,3,1,Jonathan Berkenstein Pinheiro,9,12,0,1,0,0,-,-,Não,-,-,1.47,4.23,6.85
Brazil,Serie A,2024,14/06/2024,00:00,20:00,Flamengo RJ,Gremio,2,1,Luiz Flavio de Oliveira,9,10,2,4,0,0,-,-,Não,-,-,1.56,3.93,6.11
Brazil,Serie A,2024,14/06/2024,00:00,20:00,Internacional,Sao Paulo,0,0,Braulio Da Silva Machado,15,18,5,4,0,0,-,-,Não,-,-,2.38,2.99,3.28
Brazil,Serie A,2024,14/06/2024,01:30,21:30,Bahia,Fortaleza,1,0,Felipe Fernandes de Lima,14,9,6,1,0,0,-,-,Não,-,-,1.85,3.58,4.17
Brazil,Serie A,2024,14/06/2024,01:30,21:30,Palmeiras,Vasco,2,0,Ramon Abatti Abel,10,14,1,2,0,0,-,-,Não,-,-,1.44,4.29,7.39
Brazil,Serie A,2024,15/06/2024,22:30,18:30,Bragantino,Juventude,2,1,Emerson Ricardo de Almeida Andrade,12,12,4,4,1,0,12',-,Sim,1x0,2x1,1.59,3.83,5.87
Brazil,Serie A,2024,16/06/2024,01:00,21:00,Fluminense,Atletico GO,1,2,Gustavo Ervino Bauermann,10,12,4,1,0,0,-,-,Não,-,-,1.87,3.41,4.31
Brazil,Serie A,2024,16/06/2024,20:00,16:00,Athletico-PR,Flamengo RJ,1,1,Anderson Daronco,11,11,4,3,0,0,-,-,Não,-,-,2.58,3.11,2.84
Brazil,Serie A,2024,16/06/2024,20:00,16:00,Corinthians,Sao Paulo,2,2,Ramon Abatti Abel,15,10,4,5,1,0,77',-,Sim,2x2,2x2,3.34,03.02,2.34
Brazil,Serie A,2024,16/06/2024,20:00,16:00,Vitoria,Internacional,2,1,Bruno Arleu de Araujo,6,16,1,5,0,0,-,-,Não,-,-,2.7,2.84,2.96
Brazil,Serie A,2024,16/06/2024,22:30,18:30,Criciuma,Bahia,2,2,Flavio Rodrigues De Souza,14,13,4,1,1,0,62',-,Sim,2x1,2x2,3.49,3.18,2.18
